id_venda,data_venda,id_cliente,id_produto,id_vendedor,quantidade,preco_unitario,desconto_pct,valor_total,custo_total,lucro_total,margem_lucro_pct,canal_venda
10001,2025-01-19,119,1005,3,1,850.0,0.1,765.0,520.0,245.0,32.03,E-commerce
10002,2024-06-18,84,1015,6,13,32.0,0.05,395.2,234.0,161.2,40.79,Venda Direta / B2B
10003,2025-03-21,65,1014,2,8,280.0,0.15,1904.0,720.0,1184.0,62.18,Venda Direta / B2B
10004,2023-08-02,58,1012,2,13,150.0,0.0,1950.0,520.0,1430.0,73.33,Website
10005,2025-03-22,52,1008,1,3,2800.0,0.0,8400.0,5400.0,3000.0,35.71,Website
10006,2023-11-28,145,1004,4,8,220.0,0.05,1672.0,880.0,792.0,47.37,Website
10007,2025-03-29,30,1006,3,5,650.0,0.15,2762.5,1950.0,812.5,29.41,Venda Direta / B2B
10008,2023-05-30,148,1010,7,7,420.0,0.0,2940.0,1680.0,1260.0,42.86,Website
10009,2023-09-15,27,1008,5,14,2800.0,0.15,33320.0,25200.0,8120.0,24.37,Website
10010,2025-04-21,89,1002,7,11,2200.0,0.0,24200.0,15950.0,8250.0,34.09,Venda Direta / B2B
10011,2024-10-26,4,1011,7,14,12000.0,0.0,168000.0,56000.0,112000.0,66.67,Venda Direta / B2B
10012,2024-09-07,118,1012,3,7,150.0,0.15,892.5,280.0,612.5,68.63,Venda Direta / B2B
10013,2025-09-05,138,1009,8,8,550.0,0.15,3740.0,2560.0,1180.0,31.55,Venda Direta / B2B
10014,2024-04-29,23,1008,5,15,2800.0,0.0,42000.0,27000.0,15000.0,35.71,Venda Direta / B2B
10015,2025-03-20,87,1013,1,8,300.0,0.0,2400.0,640.0,1760.0,73.33,Venda Direta / B2B
10016,2024-10-14,67,1012,6,5,150.0,0.05,712.5,200.0,512.5,71.93,Website
10017,2024-11-27,49,1017,2,1,45.0,0.1,40.5,15.0,25.5,62.96,E-commerce
10018,2024-11-27,122,1008,8,8,2800.0,0.0,22400.0,14400.0,8000.0,35.71,Venda Direta / B2B
10019,2024-05-21,63,1013,5,11,300.0,0.05,3135.0,880.0,2255.0,71.93,Website
10020,2024-10-04,89,1017,7,12,45.0,0.05,513.0,180.0,333.0,64.91,Website
10021,2024-07-08,70,1015,5,2,32.0,0.0,64.0,36.0,28.0,43.75,Website
10022,2025-03-04,31,1011,3,1,12000.0,0.1,10800.0,4000.0,6800.0,62.96,Website
10023,2024-05-06,73,1017,2,1,45.0,0.0,45.0,15.0,30.0,66.67,E-commerce
10024,2024-07-15,4,1010,3,5,420.0,0.0,2100.0,1200.0,900.0,42.86,Venda Direta / B2B
10025,2024-11-26,126,1005,2,14,850.0,0.15,10115.0,7280.0,2835.0,28.03,Venda Direta / B2B
10026,2024-05-13,113,1016,6,1,280.0,0.05,266.0,150.0,116.0,43.61,Website
10027,2025-08-06,30,1016,2,7,280.0,0.0,1960.0,1050.0,910.0,46.43,Venda Direta / B2B
10028,2024-12-10,39,1002,3,13,2200.0,0.05,27170.0,18850.0,8320.0,30.62,Website
10029,2023-09-30,31,1008,7,3,2800.0,0.15,7140.0,5400.0,1740.0,24.37,Website
10030,2024-07-30,77,1015,7,5,32.0,0.15,136.0,90.0,46.0,33.82,Website
10031,2023-08-18,54,1004,4,5,220.0,0.0,1100.0,550.0,550.0,50.0,Website
10032,2024-01-06,142,1006,2,1,650.0,0.1,585.0,390.0,195.0,33.33,Website
10033,2024-09-19,75,1016,1,4,280.0,0.05,1064.0,600.0,464.0,43.61,Venda Direta / B2B
10034,2025-02-22,19,1015,4,2,32.0,0.1,57.6,36.0,21.6,37.5,Website
10035,2023-11-13,39,1008,5,14,2800.0,0.0,39200.0,25200.0,14000.0,35.71,Venda Direta / B2B
10036,2023-08-17,146,1010,5,8,420.0,0.1,3024.0,1920.0,1104.0,36.51,Venda Direta / B2B
10037,2025-02-14,70,1013,8,2,300.0,0.15,510.0,160.0,350.0,68.63,Website
10038,2023-07-06,83,1014,5,1,280.0,0.0,280.0,90.0,190.0,67.86,Venda Direta / B2B
10039,2025-08-31,69,1001,1,13,4500.0,0.1,52650.0,40300.0,12350.0,23.46,Venda Direta / B2B
10040,2024-11-04,72,1015,3,10,32.0,0.1,288.0,180.0,108.0,37.5,Venda Direta / B2B
10041,2025-09-11,90,1016,7,6,280.0,0.0,1680.0,900.0,780.0,46.43,Venda Direta / B2B
10042,2025-05-25,106,1011,8,2,12000.0,0.15,20400.0,8000.0,12400.0,60.78,E-commerce
10043,2023-06-29,81,1003,5,6,350.0,0.1,1890.0,1080.0,810.0,42.86,Venda Direta / B2B
